Statement,Category,Source
Women are merely distractions for men,Disinterest,T&G
Men should ignore women to maintain focus on their goals,Disinterest,T&G
Women's solicitations should receive no response,Disinterest,T&G
Men should push away physical touch from women,Disinterest,T&G
Sigma males are self-centered and ambitious,Characteristic,T&G
Sigma males are adaptable and unconventional,Characteristic,T&G
Sigma males maintain a distant cynical and cruel attitude toward women,Characteristic,T&G
Sigma males are self-sufficient and disciplined,Characteristic,T&G
Sigma males maintain balanced diet physical training and few distractions,Characteristic,T&G
Women are calculating and opportunistic,Rejection,T&G
Women try to seduce men to exploit them,Rejection,T&G
Women only care about men's wealth and status,Rejection,T&G
Women change their behaviour when men display wealth,Rejection,T&G
Men should refuse women's gestures of affection,Rejection,T&G
Women should be instrumentalised for men's benefit,Humiliation,T&G
Women can be physically harmed when being nuisances,Humiliation,T&G
Women should be used as temporary supports then discarded,Humiliation,T&G
Women are vain and presumptuous,Humiliation,T&G
Women are at fault for men's struggles,Hate,Both
Mass violence is understandable response to rejection by women,Hate,Both
Courts unfairly favor mothers in custody battles,Crisis,Ging
Fathers sacrifice themselves but receive no recognition,Crisis,Ging
Traditional masculinity is under threat,Crisis,Ging
Men must reject modernity and embrace masculinity,Prescription,Ging
Women are hypergamous,Rejection,Ging
Women need to be dominated,Rejection,Ging
Women are irrational,Rejection,Ging
Women are children mentally behaviorally and evolutionarily,Rejection,Ging
Women don't have the same deep sense of personal responsibility as men,Rejection,Ging
Women evolved to test men through shit testing,Rejection,Ging
Women don't care about men's wellbeing,Rejection,Ging
Women constantly seek stronger better providers through monkey branching,Rejection,Ging
Women want alpha males for sex and beta males for money,Rejection,Ging
Women who have had sex outside marriage will never be satisfied by beta husbands,Rejection,Ging
Women are the cause of marriage failure and divorce,Rejection,Ging
Women have raw biological power over men,Rejection,Ging
Women are slutty corrupt and untrustworthy,Humiliation,Ging
Women are cumdumpsters,Humiliation,Ging
Women are feminazis,Humiliation,Ging
Women are femtards,Humiliation,Ging
Women are cunts,Humiliation,Ging
Feminist women are destined for lonely death as they age,Humiliation,Ging
Women become worthless when they get older,Humiliation,Ging
No self respecting man will have anything to do with feminist women except sex,Humiliation,Ging
Feminism is misandry and brainwashing,Hate,Ging
Red pill philosophy liberates men from feminist delusion,Hate,Ging
Women are absolved of responsibility,Hate,Ging
Beta males have been deprived of sexual success by women and alpha males,Hate,Ging
Men should go their own way without women,Prescription,Ging
Alpha males have sexual and social dominance,Hierarchy,Ging
Beta males are exploited financially by women,Hierarchy,Ging
Incels are involuntarily celibate,Hierarchy,Ging
Zeta males transcend biology by rejecting gynocentric hierarchy,Hierarchy,Ging
Taking the red pill awakens men to truth,Prescription,Ging
Taking the blue pill means living in delusion,Prescription,Ging
Young men face educational hurdles due to feminisation,Crisis,Ging
Men face higher suicide rates,Crisis,Ging
Men face downward mobility and wage stagnation,Crisis,Ging
The postindustrial workplace has been feminised,Crisis,Ging
White male privilege is being eroded,Crisis,Ging
Men should reject beta status and become alpha,Prescription,Ging
The manosphere is key space to revalorise alpha masculinity,Prescription,Ging
Toxic masculinity includes need to aggressively compete and dominate,Characteristic,Academic
Hegemonic masculinity values strength competition and discipline,Characteristic,Academic
Men are victims of feminised society,Crisis,Ging
The education system has been deliberately feminised to disadvantage boys,Crisis,Ging
Family courts are systematically biased against fathers,Crisis,Ging
Men's legitimate grievances about status and belonging are dismissed by society,Crisis,Ging
The decline of male identity is engineered by feminist cultural forces,Crisis,Ging
Men who speak honestly about male suffering are silenced and ridiculed,Crisis,Ging
White male suffering is the last form of discrimination society refuses to acknowledge,Crisis,Ging
Men are more likely than women to be homeless or die at work or go to war,Crisis,T&G
Fathers who sacrifice everything for their families are treated as disposable,Crisis,T&G
Men have been dispossessed by a society that unconditionally rewards women,Crisis,T&G
The crisis of masculinity is real but mainstream society refuses to acknowledge it,Crisis,T&G
Men are victims of a system designed to serve women at men's expense,Crisis,T&G
Traditional masculine values are under systematic attack from cultural elites,Crisis,T&G
Women who gain power use it to punish and humiliate men,Hate,Ging
Feminist women are driven by hatred of men disguised as a call for equality,Hate,Ging
Women use false accusations to destroy innocent men's lives and reputations,Hate,Ging
Women are biologically incapable of genuine loyalty and will always betray men,Hate,Ging
Women who challenge men deserve to be publicly humiliated and punished,Hate,Ging
Women exercise unlimited power over men while bearing no accountability for consequences,Hate,T&G
Women are the root cause of male suffering and societal decline,Hate,T&G
Men who are pushed to violence by women's rejection are victims not perpetrators,Hate,T&G
A society that empowers women at men's expense will inevitably collapse,Hate,T&G
Women conspire against men through cultural legal and institutional systems,Hate,T&G
